#Sección,b,Dirección General,d,Grupo de Función,f,Función,h,Programa,j,Capítulo,l,Artículo,n,o,Concepto,Subconcepto,r,Obligado
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22100,Energía eléctrica,8017.96
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22103,Combustible,2139.62
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22109,Otros suministros,1331.02
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22110,Productos farmacéuticos,72.34
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",222,Comunicaciones,22200,Telefónicas,2479.7
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",222,Comunicaciones,22201,Postales,171.1
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",223,Transportes,22300,Transportes,272.25
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",225,Tributos,22500,Locales,130.93
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22601,Atenc protocol y represen,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22602,Divulgación y campañas institucionales,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22606,"Reuniones, confer y curs",3625.67
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22609,Otros,1672.36
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22610,Indemnizaciones stcs y resoluciones adm,131.32
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22611,Compensación gastos de representación,3803.14
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",227,Trab real ot empres y pro,22700,Limpieza y aseo,13612.64
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",227,Trab real ot empres y pro,22701,Seguridad,18815.58
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",227,Trab real ot empres y pro,22706,Estudios y trabajos técn,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",227,Trab real ot empres y pro,22782,Serv carácter informático,27374.04
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNICACIONES SERVICIO,230,Dietas y locomoción,23000,A personal funcionario,229.62
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIEN,623,Mobiliario y enseres,62300,Mobiliario y enseres,1409.62
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIEN,624,Equipos para procesos de información,62400,Equip procesos informa,6924.83
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIEN,625,Otro inmovilizado material,62500,Otro inmovil material,617.09
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,6,INVERSIONES REALES,63,INVERSIÓN DE REPOSICIÓN ASOCIADA AL FUNC,630,Edificios y otras construcciones,63000,Edificios y otras construcciones,33593.65
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,6,INVERSIONES REALES,63,INVERSIÓN DE REPOSICIÓN ASOCIADA AL FUNC,630,Edificios y otras construcciones,63020,Invers manteni edif construc,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,6,INVERSIONES REALES,63,INVERSIÓN DE REPOSICIÓN ASOCIADA AL FUNC,631,"Maquinaria, instalaciones y utillaje",63101,Instalaciones técnicas,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,6,INVERSIONES REALES,64,INVERSIÓN NUEVA DE CARÁCTER INMATERIAL,640,Inversión nueva de inmovilizado inmateri,64003,Aplicaciones informática,778.56
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,8,ACTIVOS FINANCIEROS,82,CONCESIÓN DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,8,ACTIVOS FINANCIEROS,82,CONCESIÓN DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓN,1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retr bás y ot rem alt car,10000,Retribuciones básicas,193709.95
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓN,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retr bás y ot rem p event,11000,Retribuciones básicas,8691.16
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓN,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retr bás y ot rem p event,11001,Otras remuneraciones,27049.75
