#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Presupuesto V. 001 - 2026
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,381,De presupuesto corriente,38100,De presupuesto corriente,I/38100,,,15000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,I/39000,,,6000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,I/39001,,,5000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,600000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,49,DEL EXTERIOR,499,Otras transferencias,49900,Otras transferencias,I/49900,,,34200
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses de cuentas bancarias,52000,Intereses de cuentas bancarias,I/52000,,,1000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,10000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82001,A personal laboral,I/82001,,,10000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,14000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,6000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta de las Personas Físicas,10000,Tramo autonómico Impuesto Renta Personas Físicas,I/10000,,,2313741430
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta de las Personas Físicas,10001,IRPF. Liquidación de ejercicios anteriores,I/10001,,,155745220
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones y donaciones,11001,Impuesto sobre sucesiones,I/11001,,,72472550
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones y donaciones,11002,Impuesto sobre donaciones,I/11002,,,6805580
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,111,Impuesto sobre el patrimonio,11100,Impuesto sobre el patrimonio,I/11100,,,16549200
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,113,Impues sobre Depósitos en las Entidades de Crédito,11300,Impues sobre Depósitos en las Entidades de Crédito,I/11300,,,11861100
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,19,OTROS IMPUESTOS DIRECTOS,191,Impuestos sobre diversos márgenes,19100,Impuesto sobre el margen de intereses y comisiones,I/19100,,,50521500
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,200,Sobre transmisiones intervivos,20001,Transmisiones patrimoniales onerosas,I/20001,,,278096080
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,200,Sobre transmisiones intervivos,20002,Operaciones societarias,I/20002,,,767280
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,201,Sobre actos jurídicos documentados,20100,Sobre actos jurídicos documentados,I/20100,,,96073020
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,21,SOBRE EL JUEGO,211,Impuesto sobre las actividades del juego,21100,Impuesto sobre las actividades del juego,I/21100,,,4446730
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22000,Sobre determinados medios de transporte,I/22000,,,15802490
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22001,Impuesto especial sobre la cerveza,I/22001,,,9712120
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22003,Impuesto especial sobre productos intermedios,I/22003,,,398870
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22004,Imp. especial sobre el alcohol y bebidas derivadas,I/22004,,,20387530
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22005,Impuesto especial sobre hidrocarburos,I/22005,,,534000690
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22006,Impuesto especial sobre las labores del tabaco,I/22006,,,211180190
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22007,Impuesto especial sobre la electricidad,I/22007,,,65975450
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22011,Imp. esp sobre la cerveza. Liq ejercicios anterior,I/22011,,,-728990
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22013,Imp. especial sobre productos interm. Liq ejer ant,I/22013,,,-42570
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22014,Imp. esp s alcohol y beb deri. Liq ejerc anteriore,I/22014,,,-3233520
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22015,Imp. esp sobre hidrocarburos. Liq ejer anteriores,I/22015,,,16403560
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22016,Imp especial s las labores del tabaco. Liqu eje an,I/22016,,,2318230
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22017,Imp esp sobre la electricidad. Liq de ejer anterio,I/22017,,,44100
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,23,SOBRE EL VALOR AÑADIDO,230,Impuesto sobre el valor añadido,23000,Impuesto sobre el valor añadido,I/23000,,,2075243830
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,23,SOBRE EL VALOR AÑADIDO,230,Impuesto sobre el valor añadido,23001,IVA. Liquidación de ejercicios anteriores,I/23001,,,-19212870
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,24,IMPUESTOS MEDIOAMBIENTALES,240,Impuesto sobre actividades que inciden en el M.A,24000,Impuesto sobre actividades que inciden en el M.A,I/24000,,,390490
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,24,IMPUESTOS MEDIOAMBIENTALES,241,I.actividad gener efectos adverso sobre M.Ambiente,24103,"I. s/depósito res. vertederos, inciner y coinciner",I/24103,,,19515880
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,320,"Tasa fiscal sobre juegos de suerte, envite o azar",32000,Bingo,I/32000,,,1157380
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,320,"Tasa fiscal sobre juegos de suerte, envite o azar",32001,Máquinas recreativas,I/32001,,,31990550
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,320,"Tasa fiscal sobre juegos de suerte, envite o azar",32002,Casinos y establecimientos de juegos de casino,I/32002,,,912590
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,321,"Tasa sobre rifas, tómbolas y combinaciones aleator",32100,Rifas y tómbolas,I/32100,,,2140300
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,322,Tasas por dirección e inspección de obras,32200,Tasas por dirección e inspección de obras,I/32200,,,300000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,329,Otras tasas,32900,Otras tasas,I/32900,,,1600000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,I/39000,,,1384840
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,I/39001,,,178900
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,I/39002,,,1390210
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondos de Suficiencia y Convergencia,43000,Fondo de Suficiencia Global,I/43000,,,122291420
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondos de Suficiencia y Convergencia,43002,Fondo de Garantía Servicios Públicos Fundamentales,I/43002,,,2092497900
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondos de Suficiencia y Convergencia,43010,Fondo de Sufic Global. Liquidaci ejer anteriores,I/43010,,,795010
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondos de Suficiencia y Convergencia,43012,Fondo Garantía de Ser Pbc Funda. Liq ejer anterior,I/43012,,,74237020
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondos de Suficiencia y Convergencia,43014,Fondo de Cooperación. Liquidación ejer anteriores,I/43014,,,142753360
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",434,De organismos autónomos estatales,43400,De organismos autónomos estatales,I/43400,0000000791,Formación contínua INAP. OO.AA.EE,1725590
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",434,De organismos autónomos estatales,43400,De organismos autónomos estatales,I/43400,0000000793,P. Formación Entidades Locales. OO.AA.EE,849000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses de cuentas bancarias,52000,Intereses de cuentas bancarias,I/52000,,,7000000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,54,RENTA DE BIENES INMUEBLES,540,Alquileres y productos de inmuebles,54000,Alquileres y productos de inmuebles,I/54000,,,10000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,54,RENTA DE BIENES INMUEBLES,549,Otras rentas,54900,Otras rentas,I/54900,,,1000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,59,OTROS INGRESOS PATRIMONIALES,590,Otros ingresos patrimoniales,59000,Otros ingresos patrimoniales,I/59000,,,1030000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,60,DE TERRENOS,603,Venta de terrenos no urbanos,60300,Venta de terrenos no urbanos,I/60300,,,3000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,61,DE LAS DEMÁS INVERSIONES REALES,615,Venta de elementos de transporte,61500,Venta de elementos de transporte,I/61500,,,10000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,61,DE LAS DEMÁS INVERSIONES REALES,617,Venta de equipos para procesos de información,61700,Venta de equipos para procesos de información,I/61700,,,3000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,61,DE LAS DEMÁS INVERSIONES REALES,619,Venta de otras inversiones reales,61900,Venta de otras inversiones reales,I/61900,,,300
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,79,DEL EXTERIOR,790,Fondo Europeo de Desarrollo Regional. FEDER,79000,Fondo Europeo de Desarrollo Regional,I/79000,,,217888450
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,90000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82001,A personal laboral,I/82001,,,80000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,20000
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF. DIGITAL",1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,17000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,322,Tasas por dirección e inspección de obras,32200,Tasas por dirección e inspección de obras,I/32200,,,200000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,325,"Tasas en materia en oo.pp.,trans, urban y vivienda",32500,Tasas en materia de obras públicas y transporte,I/32500,,,1750000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,325,"Tasas en materia en oo.pp.,trans, urban y vivienda",32501,Tasas en materia de vivienda y urbanismo,I/32501,,,26500
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,329,Otras tasas,32900,Otras tasas,I/32900,,,20000
