#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Presupuesto  2015
06,DEUDA PÚBLICA,0601,DEUDA PÚBLICA,06010000,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,90,EMISIÓN DE DEUDA PÚBLICA,901,Emisión de Deuda a largo plazo,90100,Emisión de Deuda a largo plazo,I/90100,,,200000000
06,DEUDA PÚBLICA,0601,DEUDA PÚBLICA,06010000,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS EN MONEDA NACIONAL,911,Préstamos recibidos a largo plazo,91100,Préstamos recibidos a l/p de entes fuera s.p.,I/91100,,,435072750
06,DEUDA PÚBLICA,0601,DEUDA PÚBLICA,06010000,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS EN MONEDA NACIONAL,911,Préstamos recibidos a largo plazo,91101,Préstamos recibidos a l/p de entes dentro s.p.,I/91101,,,1319621200
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30,VENTA DE BIENES,300,Venta de publicaciones,30000,Venta de publicaciones,I/30000,,,1000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,322,Tasas por dirección e inspección de obras,32200,Tasas por dirección e inspección de obras,I/32200,,,500
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,329,Otras tasas,32900,Otras tasas,I/32900,,,372500
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,380,De ejercicios cerrados,38000,De ejercicios cerrados,I/38000,,,7000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,381,De presupuesto corriente,38100,De presupuesto corriente,I/38100,,,3000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,I/39000,,,20000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,I/39001,,,5000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,I/39002,,,450000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,75000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",434,De organismos autónomos estatales,43400,De organismos autónomos estatales,I/43400,0000000791,Formación contínua INAP. OO.AA.EE,800000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",434,De organismos autónomos estatales,43400,De organismos autónomos estatales,I/43400,0000000793,P. Formación Entidades Locales. OO.AA.EE,500000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses de cuentas bancarias,52000,Intereses de cuentas bancarias,I/52000,,,1000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,36000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82001,A personal laboral,I/82001,,,25100
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,47200
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,11040000,SECRETARÍA GENERAL DE LA PRESIDENCIA Y A. PÚBLICAS,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,17600
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta de las Personas Físicas,10000,Tramo autonómico Impuesto Renta Personas Físicas,I/10000,,,1094150000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta de las Personas Físicas,10001,IRPF. Liquidación de ejercicios anteriores,I/10001,,,-36909000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones y donaciones,11001,Impuesto sobre sucesiones,I/11001,,,72300940
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones y donaciones,11002,Impuesto sobre donaciones,I/11002,,,17626980
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,111,Impuesto sobre el patrimonio,11100,Impuesto sobre el patrimonio,I/11100,,,17249630
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,113,Impues sobre Depósitos en las Entidades de Crédito,11300,Impues sobre Depósitos en las Entidades de Crédito,I/11300,,,10000000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,200,Sobre transmisiones intervivos,20001,Transmisiones patrimoniales onerosas,I/20001,,,196930210
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,200,Sobre transmisiones intervivos,20002,Operaciones societarias,I/20002,,,801450
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,201,Sobre actos jurídicos documentados,20100,Sobre actos jurídicos documentados,I/20100,,,120728990
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,21,SOBRE EL JUEGO (EXTINGUIDO),211,Impuesto sobre las actividades del juego,21100,Impuesto sobre las actividades del juego,I/21100,,,2603740
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22000,Sobre determinados medios de transporte,I/22000,,,7967490
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22001,Impuesto especial sobre la cerveza,I/22001,,,6770000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22003,Impuesto especial sobre productos intermedios,I/22003,,,410000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22004,Imp. especial sobre el alcohol y bebidas derivadas,I/22004,,,16890000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22005,Impuesto especial sobre hidrocarburos,I/22005,,,401200000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22006,Impuesto especial sobre las labores del tabaco,I/22006,,,184810000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22007,Impuesto especial sobre la electricidad,I/22007,,,73110000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22009,Tipo autonómico del impuesto especial sobre hidroc,I/22009,,,80202060
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22014,Imp. esp s alcohol y beb deri. Liq ejerc anteriore,I/22014,,,-149000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22015,Imp. esp sobre hidrocarburos. Liq ejer anteriores,I/22015,,,-11305000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,23,SOBRE EL VALOR AÑADIDO,230,Impuesto sobre el valor añadido,23000,Impuesto sobre el valor añadido,I/23000,,,1305430000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,23,SOBRE EL VALOR AÑADIDO,230,Impuesto sobre el valor añadido,23001,IVA. Liquidación de ejercicios anteriores,I/23001,,,-131437000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,24,IMPUESTOS MEDIOAMBIENTALES,240,Impuestos sobre actividades que inciden en el M.A,24000,Impuestos sobre actividades que inciden en el M.A,I/24000,,,1175260
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30,VENTA DE BIENES,302,Venta de impresos de autoliquidación,30200,Venta de impresos de autoliquidación,I/30200,,,8500
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,320,Tasas sobre el juego,32000,Tasa estatal sobre el juego: bingo,I/32000,,,3117000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,320,Tasas sobre el juego,32001,Tasa estatal sobre el juego: máquinas recreativas,I/32001,,,32371000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,320,Tasas sobre el juego,32002,Tasa estatal sobre el juego: casinos,I/32002,,,60700
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,321,"Tasa estatal rifas, tómbolas y combinac aleatorias",32100,"Tasa estatal rifas, tómbolas y combinac aleatorias",I/32100,,,445000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,329,Otras tasas,32900,Otras tasas,I/32900,,,745000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,I/39000,,,2423300
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,I/39001,,,667880
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,I/39002,,,3826700
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondo de suficiencia,43000,Fondo de suficiencia global,I/43000,,,80260000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondo de suficiencia,43002,Fondo de garantía servicios públicos fundamentales,I/43002,,,1082040000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondo de suficiencia,43010,Fondos de Sufic global. Liquidaci ejer anteriores,I/43010,,,-243980000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondo de suficiencia,43012,Fondo garantía de Ser Pbc Funda. Liq ejer anterior,I/43012,,,-63570000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",430,Fondo de suficiencia,43014,Fondo de Cooperación. Liquidación ejer anteriores,I/43014,,,209510000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses de cuentas bancarias,52000,Intereses de cuentas bancarias,I/52000,,,150000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,54,RENTA DE BIENES INMUEBLES,540,Alquileres y productos de inmuebles,54000,Alquileres y productos de inmuebles,I/54000,,,15000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,59,OTROS INGRESOS PATRIMONIALES,590,Otros ingresos patrimoniales,59000,Otros ingresos patrimoniales,I/59000,,,1590000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,60,DE TERRENOS,600,Venta de solares de naturaleza urbana,60000,Venta de solares de naturaleza urbana,I/60000,,,1976530
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,60,DE TERRENOS,602,Venta de suelo para planes urbanísticos,60200,Venta de suelo para planes urbanísticos,I/60200,,,200000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,61,DE LAS DEMÁS INVERSIONES REALES,615,Venta de elementos de transporte,61500,Venta de elementos de transporte,I/61500,,,20000
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,6,ENAJENACIÓN DE INVERSIONES REALES,61,DE LAS DEMÁS INVERSIONES REALES,619,Venta de otras inversiones reales,61900,Venta de otras inversiones reales,I/61900,,,20085880
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,48170
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82001,A personal laboral,I/82001,,,1830
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,48170
15,HACIENDA,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,1830
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,24,IMPUESTOS MEDIOAMBIENTALES,241,I.actividad gener efectos adverso sobre M.Ambiente,24100,Canon eólico,I/24100,,,7984000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,24,IMPUESTOS MEDIOAMBIENTALES,241,I.actividad gener efectos adverso sobre M.Ambiente,24100,Canon eólico,I/24100,0000000697,Desarrollo tecnológico energía renovable,4491000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,322,Tasas por dirección e inspección de obras,32200,Tasas por dirección e inspección de obras,I/32200,,,924650
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,324,"Tasas en materia de industria, energía y comercio",32400,Tasas en materia de industria y energía,I/32400,,,3400000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,325,"Tasas en materia en oo.pp.,trans, urban y vivienda",32500,Tasas en materia de obras públicas y transporte,I/32500,,,1686000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,325,"Tasas en materia en oo.pp.,trans, urban y vivienda",32501,Tasas en materia de vivienda y urbanismo,I/32501,,,120000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,329,Otras tasas,32900,Otras tasas,I/32900,,,270300
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,380,De ejercicios cerrados,38000,De ejercicios cerrados,I/38000,,,56600
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,381,De presupuesto corriente,38100,De presupuesto corriente,I/38100,,,17200
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,I/39000,,,250000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,I/39001,,,50700
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,I/39002,,,11397000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,390,Recargos y multas,39009,Otros,I/39009,0000000698,Actividades mineras,200000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,82000
17,FOMENTO,1702,SECRETARÍA GENERAL,17020000,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",432,De diversos Ministerios,43200,De diversos Ministerios,I/43200,0000000025,VI Plan Vivienda 2013-2016. AGE,4000000
